Customer_id,Firstname,LastName,PhoneNumber,Gender,Other,age,Not_Useful_column,Sale date
1001,Grace,Mwende,123-456-7098,Female,TRUE,26,TRUE,'14/1/2023'
1002,John,Gitonga,321-654-0987,Male,FALSE,30,FALSE,'15/1/2023'
1003,Emis,Leonard,NaN,F,TRUE,60,TRUE,'16/1/2023'
1004,Olive,Cira,N/a,F,FALSE,40,FALSE,'17/1/2023'
1005,leornard..,Thirika,304-762-2467,Male,TRUE,89,TRUE,'17/1/2023'
1006,/ignatius,Micheni,123-543-2345,M,FALSE,62,FALSE,'19/1/2023'
1007,_Kevin,Nyaga,876|678|3469,Male,TRUE,32,TRUE,'20/1/2023'
1008,Francis,Njiru,NaN,M,FALSE,78,FALSE,NaN
1009,Joe,Ratemo,N/a,M,TRUE,22,TRUE,'22/1/2023'
1010,faith,Kathomi,N/a,Female,FALSE,N/a,FALSE,'23/1/2023'
1011,Lenny,Nyaga,N/a,M,TRUE,31,TRUE,'22/1/2023'
1002,John,Gitonga,321-654-0987,Male,FALSE,30,FALSE,'15/1/2023'
1004,Olive,Cira,N/a,F,FALSE,30,FALSE,'17/1/2023'
